step,train_loss,val_loss,hellaswag,mmlu,arc,lr,grad_norm,tokens_per_sec,mfu,dt_ms
0,11.326523,11.3288,0.2462,,,6.722689e-06,0.9107,6026.85,0.011063,86992.08
1,11.319157,,,,,1.344538e-05,0.9164,297390.08,0.545917,1762.96
2,11.300301,,,,,2.016807e-05,0.9396,296905.47,0.545027,1765.84
3,11.271589,,,,,2.689076e-05,0.9487,296969.43,0.545144,1765.46
4,11.225229,,,,,3.361345e-05,0.9719,239528.81,0.439701,2188.83
5,11.163499,,,,,4.033613e-05,1.0427,296581.96,0.544433,1767.77
6,11.074548,,,,,4.705882e-05,1.2176,296245.74,0.543816,1769.77
7,10.935658,,,,,5.378151e-05,1.5443,296088.98,0.543528,1770.71
8,10.747492,,,,,6.050420e-05,1.9189,296411.26,0.544120,1768.79
9,10.508493,,,,,6.722689e-05,2.0459,297103.56,0.545391,1764.66
10,10.272248,,,,,7.394958e-05,1.8583,296389.96,0.544081,1768.91
11,10.123850,,,,,8.067227e-05,1.7883,297224.67,0.545613,1763.95
12,10.034599,,,,,8.739496e-05,1.8129,295697.13,0.542809,1773.06
13,9.956703,,,,,9.411765e-05,1.8636,296863.99,0.544951,1766.09
14,9.894953,,,,,1.008403e-04,1.8404,297133.06,0.545445,1764.49
15,9.833921,,,,,1.075630e-04,1.8401,296900.02,0.545017,1765.87
16,9.758539,,,,,1.142857e-04,1.8839,295561.72,0.542560,1773.87
17,9.698196,,,,,1.210084e-04,1.8683,296321.27,0.543955,1769.32
18,9.620693,,,,,1.277311e-04,1.9001,296081.96,0.543515,1770.75
19,9.554303,,,,,1.344538e-04,1.8832,296285.06,0.543888,1769.54
20,9.483185,,,,,1.411765e-04,1.8584,295987.51,0.543342,1771.32
21,9.410447,,,,,1.478992e-04,1.8761,296575.68,0.544422,1767.81
22,9.328714,,,,,1.546218e-04,1.8907,295770.39,0.542943,1772.62
23,9.247795,,,,,1.613445e-04,1.8558,295489.60,0.542428,1774.30
24,9.187420,,,,,1.680672e-04,1.8099,295399.30,0.542262,1774.85
25,9.105532,,,,,1.747899e-04,1.7997,295263.65,0.542013,1775.66
26,9.024570,,,,,1.815126e-04,1.7793,294812.94,0.541186,1778.38
27,8.922735,,,,,1.882353e-04,1.8001,294924.67,0.541391,1777.70
28,8.846146,,,,,1.949580e-04,1.7624,295625.65,0.542678,1773.49
29,8.761484,,,,,2.016807e-04,1.7213,296063.59,0.543482,1770.86
30,8.654259,,,,,2.084034e-04,1.6996,295633.72,0.542693,1773.44
31,8.575027,,,,,2.151261e-04,1.6490,295187.87,0.541874,1776.12
32,8.503607,,,,,2.218487e-04,1.6385,295362.04,0.542194,1775.07
33,8.399750,,,,,2.285714e-04,1.5785,295309.33,0.542097,1775.39
34,8.320273,,,,,2.352941e-04,1.5157,295115.25,0.541741,1776.55
35,8.234289,,,,,2.420168e-04,1.4721,294697.37,0.540974,1779.07
36,8.169294,,,,,2.487395e-04,12.2995,293979.05,0.539655,1783.42
37,8.109419,,,,,2.554622e-04,1.3619,293948.40,0.539599,1783.61
38,8.036446,,,,,2.621849e-04,1.2967,294273.47,0.540196,1781.64
39,7.971894,,,,,2.689076e-04,1.1893,293595.70,0.538951,1785.75
40,7.916851,,,,,2.756303e-04,1.1788,294323.22,0.540287,1781.33
41,7.827700,,,,,2.823529e-04,1.0358,294159.00,0.539985,1782.33
42,7.749397,,,,,2.890756e-04,0.9244,294106.16,0.539888,1782.65
43,7.730961,,,,,2.957983e-04,0.8111,293922.78,0.539552,1783.76
44,7.677450,,,,,3.025210e-04,0.7067,294001.81,0.539697,1783.28
45,7.637330,,,,,3.092437e-04,0.6438,293828.37,0.539378,1784.33
46,7.589646,,,,,3.159664e-04,0.5662,293665.45,0.539079,1785.32
47,7.581835,,,,,3.226891e-04,0.5578,293714.59,0.539170,1785.03
48,7.540765,,,,,3.294118e-04,0.4320,293596.09,0.538952,1785.75
49,7.488024,,,,,3.361345e-04,0.3233,293258.74,0.538333,1787.80
50,7.460052,,,,,3.428571e-04,0.2517,293184.92,0.538197,1788.25
51,7.450646,,,,,3.495798e-04,0.4569,293120.25,0.538079,1788.64
52,7.438231,,,,,3.563025e-04,0.5475,293096.53,0.538035,1788.79
53,7.479915,,,,,3.630252e-04,0.5759,291555.62,0.535206,1798.24
54,7.459492,,,,,3.697479e-04,0.3731,292539.62,0.537013,1792.19
55,7.522048,,,,,3.764706e-04,10.7178,292276.08,0.536529,1793.81
56,7.408941,,,,,3.831933e-04,0.8223,292181.25,0.536355,1794.39
57,7.399950,,,,,3.899160e-04,0.6889,292206.37,0.536401,1794.24
58,7.355948,,,,,3.966387e-04,0.5361,292340.42,0.536647,1793.42
59,7.337359,,,,,4.033613e-04,0.5988,246579.57,0.452644,2126.24
60,7.345852,,,,,4.100840e-04,0.7422,292146.04,0.536290,1794.61
61,7.295090,,,,,4.168067e-04,0.5216,291334.06,0.534800,1799.61
62,7.308800,,,,,4.235294e-04,0.5220,291926.22,0.535887,1795.96
63,7.243239,,,,,4.302521e-04,0.2931,291932.84,0.535899,1795.92
64,7.238593,,,,,4.369748e-04,0.4119,291716.55,0.535502,1797.25
65,7.229332,,,,,4.436975e-04,0.3926,291713.92,0.535497,1797.27
66,7.211327,,,,,4.504202e-04,0.3373,291572.28,0.535237,1798.14
67,7.193384,,,,,4.571429e-04,0.4349,291495.91,0.535097,1798.61
68,7.185582,,,,,4.638655e-04,0.5973,290395.17,0.533076,1805.43
69,7.169789,,,,,4.705882e-04,0.3951,291163.44,0.534486,1800.67
70,7.140970,,,,,4.773109e-04,0.5358,291265.76,0.534674,1800.03
71,7.143882,,,,,4.840336e-04,0.4704,291032.54,0.534246,1801.48
72,7.089647,,,,,4.907563e-04,0.2686,291048.95,0.534276,1801.37
73,7.095737,,,,,4.974790e-04,0.4527,290967.54,0.534127,1801.88
74,7.065520,,,,,5.042017e-04,0.3366,290931.08,0.534060,1802.10
75,7.045526,,,,,5.109244e-04,0.3001,290979.40,0.534149,1801.80
76,7.076366,,,,,5.176471e-04,0.2899,290769.98,0.533764,1803.10
77,7.041742,,,,,5.243697e-04,0.3158,290770.86,0.533766,1803.10
78,7.010455,,,,,5.310924e-04,0.5605,290611.01,0.533472,1804.09
79,7.005174,,,,,5.378151e-04,0.5420,289806.53,0.531996,1809.10
80,6.981046,,,,,5.445378e-04,0.3818,290620.45,0.533490,1804.03
81,6.957669,,,,,5.512605e-04,0.4023,290494.64,0.533259,1804.81
82,6.941261,,,,,5.579832e-04,0.4772,290501.59,0.533272,1804.77
83,6.890180,,,,,5.647059e-04,0.2660,290300.41,0.532902,1806.02
84,6.927395,,,,,5.714286e-04,0.3942,290397.59,0.533081,1805.41
85,6.880743,,,,,5.781513e-04,0.2725,289960.99,0.532279,1808.13
86,6.889834,,,,,5.848739e-04,0.2787,289854.62,0.532084,1808.80
87,6.909960,,,,,5.915966e-04,0.4088,289769.98,0.531929,1809.32
88,6.903278,,,,,5.983193e-04,0.4044,289520.78,0.531471,1810.88
89,6.870256,,,,,6.050420e-04,0.2684,289497.53,0.531428,1811.03
90,6.806209,,,,,6.117647e-04,0.4063,289517.01,0.531464,1810.91
91,6.807361,,,,,6.184874e-04,0.3779,289497.19,0.531428,1811.03
92,6.783312,,,,,6.252101e-04,0.3571,288553.84,0.529696,1816.95
93,6.771322,,,,,6.319328e-04,0.3128,289358.57,0.531173,1811.90
94,6.753125,,,,,6.386555e-04,0.4302,289361.77,0.531179,1811.88
95,6.719769,,,,,6.453782e-04,0.2419,289208.06,0.530897,1812.84
96,6.732721,,,,,6.521008e-04,0.2999,289213.08,0.530906,1812.81
97,6.666555,,,,,6.588235e-04,0.2678,289056.53,0.530619,1813.79
98,6.650779,,,,,6.655462e-04,0.2914,289040.61,0.530590,1813.89
99,6.628960,,,,,6.722689e-04,0.2656,289110.15,0.530717,1813.45
100,6.604609,,,,,6.789916e-04,0.2678,289051.02,0.530609,1813.83
101,6.627041,,,,,6.857143e-04,0.4888,288919.88,0.530368,1814.65
102,6.583823,,,,,6.924370e-04,0.4416,288878.97,0.530293,1814.91
103,6.610712,,,,,6.991597e-04,0.3614,288686.96,0.529940,1816.11
104,6.576466,,,,,7.058824e-04,0.4791,288903.67,0.530338,1814.75
105,6.590086,,,,,7.126050e-04,0.5643,288702.16,0.529968,1816.02
106,6.531231,,,,,7.193277e-04,0.6067,288670.74,0.529911,1816.21
107,6.522015,,,,,7.260504e-04,0.3499,288688.55,0.529943,1816.10
108,6.521278,,,,,7.327731e-04,0.4524,288685.90,0.529938,1816.12
109,6.481655,,,,,7.394958e-04,0.3087,288651.30,0.529875,1816.34
110,6.492970,,,,,7.462185e-04,0.4076,288649.67,0.529872,1816.35
111,6.467397,,,,,7.529412e-04,0.3660,288580.54,0.529745,1816.78
112,6.457495,,,,,7.596639e-04,0.3133,288496.19,0.529590,1817.31
113,6.424737,,,,,7.663866e-04,0.3318,288456.76,0.529518,1817.56
114,6.432928,,,,,7.731092e-04,0.2781,288568.73,0.529723,1816.86
115,6.405157,,,,,7.798319e-04,0.2610,288461.33,0.529526,1817.53
116,6.364675,,,,,7.865546e-04,0.2300,288567.85,0.529722,1816.86
117,6.378879,,,,,7.932773e-04,0.2816,288367.56,0.529354,1818.12
118,6.336201,,,,,8.000000e-04,0.2177,288343.21,0.529309,1818.28
119,6.344336,,,,,8.067227e-04,0.2633,288188.81,0.529026,1819.25
120,6.310221,,,,,8.134454e-04,0.2025,288223.52,0.529090,1819.03
121,6.305005,,,,,8.201681e-04,0.2999,288248.57,0.529136,1818.87
122,6.305919,,,,,8.268908e-04,0.4895,288263.53,0.529163,1818.78
123,6.333004,,,,,8.336134e-04,0.6949,288120.09,0.528900,1819.69
124,6.311696,,,,,8.403361e-04,0.5533,288111.63,0.528884,1819.74
125,6.317214,,,,,8.470588e-04,0.8142,287575.10,0.527899,1823.13
126,6.323500,,,,,8.537815e-04,0.7198,288004.09,0.528687,1820.42
127,6.288121,,,,,8.605042e-04,0.6270,287824.77,0.528358,1821.55
128,6.283410,,,,,8.672269e-04,0.6106,287933.65,0.528558,1820.86
129,6.265091,,,,,8.739496e-04,0.4536,288109.25,0.528880,1819.75
130,6.251448,,,,,8.806723e-04,0.3899,288086.15,0.528838,1819.90
131,6.215408,,,,,8.873950e-04,0.3527,287190.67,0.527194,1825.57
132,6.225671,,,,,8.941176e-04,0.3671,287774.67,0.528266,1821.87
133,6.212617,,,,,9.008403e-04,0.2862,287931.65,0.528554,1820.88
134,6.182132,,,,,9.075630e-04,0.2819,288030.16,0.528735,1820.25
135,6.199684,,,,,9.142857e-04,0.2591,287883.96,0.528466,1821.18
136,6.164352,,,,,9.210084e-04,0.2450,287923.84,0.528540,1820.93
137,6.148793,,,,,9.277311e-04,0.1717,287881.78,0.528462,1821.19
138,6.137886,,,,,9.344538e-04,0.1935,287883.29,0.528465,1821.18
139,6.141262,,,,,9.411765e-04,0.2456,287878.12,0.528456,1821.22
140,6.147083,,,,,9.478992e-04,0.2265,287928.67,0.528548,1820.90
141,6.133252,,,,,9.546218e-04,0.2425,287853.40,0.528410,1821.37
142,6.109189,,,,,9.613445e-04,0.2372,287797.19,0.528307,1821.73
143,6.069403,,,,,9.680672e-04,0.2682,287729.26,0.528182,1822.16
144,6.059665,,,,,9.747899e-04,0.3772,287746.92,0.528215,1822.05
145,6.050181,,,,,9.815126e-04,0.2712,287737.62,0.528198,1822.10
146,6.019731,,,,,9.882353e-04,0.2911,287643.41,0.528025,1822.70
147,6.013184,,,,,9.949580e-04,0.3094,287772.04,0.528261,1821.89
148,6.011482,,,,,1.001681e-03,0.3368,286917.02,0.526691,1827.32
